Model,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.8765133171912833,0.6993006993006993,0.6289308176100629,0.6622516556291391,0.9327694643244414
Gradient Boosting,0.87409200968523,0.8160919540229885,0.44654088050314467,0.5772357723577236,0.8725542888932892
Logistic Regression,0.7312348668280871,0.39464882943143814,0.7421383647798742,0.5152838427947598,0.8195430586593495
